episode:59, reward: 49999, mean reward: 12499.6, score: 49998.384934965696, epsilon: 0.8734227043180063, total steps: 954
episode:60, reward: -1525.6556006211656, mean reward: -31.12, score: -1586.9846623726899, epsilon: 0.8720240748925139, total steps: 1005
episode:61, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8719966745466925, total steps: 1006
episode:62, reward: 49999, mean reward: 8331.42, score: 49988.53761725803, epsilon: 0.8718322916506207, total steps: 1012
episode:63, reward: -28044.72944737168, mean reward: -551.44, score: -28123.233870559536, epsilon: 0.8704363636298182, total steps: 1063
episode:64, reward: 49999, mean reward: 16665.33, score: 49995.980372275124, epsilon: 0.8703543240955004, total steps: 1066
episode:65, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8703269794071112, total steps: 1067
episode:66, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8702996356301965, total steps: 1068
episode:67, reward: 49999, mean reward: 7142.11, score: 49994.764506888256, epsilon: 0.8701082547105251, total steps: 1075
episode:68, reward: 49999, mean reward: 12499.31, score: 49997.250240132504, epsilon: 0.8699989142327574, total steps: 1079
episode:69, reward: -6403.914690392289, mean reward: -126.87, score: -6470.256053159402, epsilon: 0.8686061003058356, total steps: 1130
episode:70, reward: 49999, mean reward: 16665.26, score: 49995.79063382275, epsilon: 0.8685242437886992, total steps: 1133
episode:71, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8684969601019702, total steps: 1134
episode:72, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8684696773246823, total steps: 1135
episode:73, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8684423954568051, total steps: 1136
episode:74, reward: 49999, mean reward: 2776.46, score: 49976.28006129847, epsilon: 0.8679514773097027, total steps: 1154
episode:75, reward: 49999, mean reward: 3845.34, score: 49989.48422372104, epsilon: 0.8675971084549988, total steps: 1167
episode:76, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.867569855672266, total steps: 1168
episode:77, reward: 49999, mean reward: 16665.22, score: 49995.653277963655, epsilon: 0.8674881027744118, total steps: 1171
episode:78, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8674608536251409, total steps: 1172
episode:79, reward: 49999, mean reward: 7141.35, score: 49989.42653546462, epsilon: 0.8672701350106653, total steps: 1179
episode:80, reward: 49999, mean reward: 7141.69, score: 49991.85048318799, epsilon: 0.8670794608920085, total steps: 1186
episode:81, reward: 49999, mean reward: 3845.01, score: 49985.09525401508, epsilon: 0.8667254698292249, total steps: 1199
episode:82, reward: 49999, mean reward: 2776.86, score: 49983.432037372404, epsilon: 0.8662355815285142, total steps: 1217
episode:83, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8662083741292557, total steps: 1218
episode:84, reward: 49999, mean reward: 7140.62, score: 49984.36286887353, epsilon: 0.8660179477259032, total steps: 1225
episode:85, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.865990747580984, total steps: 1226
episode:86, reward: 49999, mean reward: 16665.35, score: 49996.04760561648, epsilon: 0.8659091525860436, total steps: 1229
episode:87, reward: -177.33881979541, mean reward: -5.81, score: -313.85631770994326, epsilon: 0.8644418370915091, total steps: 1283
episode:88, reward: 49999, mean reward: 8331.75, score: 49990.47484751601, epsilon: 0.8642789650118416, total steps: 1289
episode:89, reward: 49999, mean reward: 16665.36, score: 49996.08677795921, epsilon: 0.8641975411865995, total steps: 1292
episode:90, reward: 49999, mean reward: 9999.78, score: 49998.89389045044, epsilon: 0.8640618529040728, total steps: 1297
episode:91, reward: 49999, mean reward: 16665.35, score: 49996.06319067213, epsilon: 0.8639804507889559, total steps: 1300
episode:92, reward: -608.5804076416409, mean reward: -13.07, score: -666.8014318801733, epsilon: 0.862597859558135, total steps: 1351
episode:93, reward: 49999, mean reward: 8332.19, score: 49993.151653667606, epsilon: 0.8624353562370971, total steps: 1357
episode:94, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8624082755099038, total steps: 1358
episode:95, reward: -24647.853518963744, mean reward: -484.87, score: -24728.620333195657, epsilon: 0.8610283547065508, total steps: 1409
episode:96, reward: 49999, mean reward: 3124.08, score: 49985.29272374824, epsilon: 0.8605959215764589, total steps: 1425
episode:97, reward: 49999, mean reward: 16665.32, score: 49995.95203625355, epsilon: 0.8605148660371457, total steps: 1428
episode:98, reward: 49999, mean reward: 5555.03, score: 49995.28405146176, epsilon: 0.8602717480468566, total steps: 1437
episode:99, reward: 49999, mean reward: 16665.33, score: 49996.00041896138, epsilon: 0.8601907249232755, total steps: 1440
episode:100, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8601637190158791, total steps: 1441
episode:101, reward: 49999, mean reward: 4998.67, score: 49986.6522843058, epsilon: 0.8598937094469687, total steps: 1451
episode:102, reward: 49999, mean reward: 998.87, score: 49943.68607348498, epsilon: 0.858545010825607, total steps: 1501
episode:103, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8585180597744327, total steps: 1502
episode:104, reward: 49999, mean reward: 16665.27, score: 49995.80196494544, epsilon: 0.8584372120109108, total steps: 1505
episode:105, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8584102645529706, total steps: 1506
episode:106, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8583833179932641, total steps: 1507
episode:107, reward: 49999, mean reward: 12498.68, score: 49994.724195878065, epsilon: 0.8582755407361751, total steps: 1511
episode:108, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8582485986671875, total steps: 1512
episode:109, reward: 49999, mean reward: 7141.78, score: 49992.43637924621, epsilon: 0.8580600293281102, total steps: 1519
episode:110, reward: 49999, mean reward: 12498.68, score: 49994.73057579535, epsilon: 0.8579522951733032, total steps: 1523
episode:111, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8579253638789881, total steps: 1524
episode:112, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8578984334823678, total steps: 1525
episode:113, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8578715039834126, total steps: 1526
episode:114, reward: 49999, mean reward: 7141.76, score: 49992.32799980028, epsilon: 0.8576830226228304, total steps: 1533
episode:115, reward: 49999, mean reward: 16665.33, score: 49995.98897986604, epsilon: 0.8576022583588486, total steps: 1536
